id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
1,Aba North,303,AB,Abia,161,NG,Nigeria,5.33333333,7.31666667,Q4663114
2,Aba South,303,AB,Abia,161,NG,Nigeria,5.1,7.35,Q4663117
3,Arochukwu,303,AB,Abia,161,NG,Nigeria,5.38333333,7.91666667,Q965036
4,Bende,303,AB,Abia,161,NG,Nigeria,5.56666667,7.63333333,Q4887027
5,Ikwuano,303,AB,Abia,161,NG,Nigeria,5.43333333,7.56666667,Q5996447
6,Isiala Ngwa North,303,AB,Abia,161,NG,Nigeria,5.388966,7.446948,Q13140544
7,Isiala Ngwa South,303,AB,Abia,161,NG,Nigeria,5.36241,7.39998,Q6080818
8,Isuikwuato,303,AB,Abia,161,NG,Nigeria,5.533333,7.483333,Q6089443
9,Obi Ngwa,303,AB,Abia,161,NG,Nigeria,5.155402,7.457067,Q7074920
10,Ohafia,303,AB,Abia,161,NG,Nigeria,5.61666667,7.83333333,Q7080605
11,Osisioma,303,AB,Abia,161,NG,Nigeria,5.14972222,7.33027778,Q7106876
12,Ugwunagbo,303,AB,Abia,161,NG,Nigeria,4.984474,7.325783,Q7877949
13,Ukwa East,303,AB,Abia,161,NG,Nigeria,4.8872,7.3572,Q7878633
14,Ukwa West,303,AB,Abia,161,NG,Nigeria,4.9884,7.2425,Q11058273
15,Umu-Nneochi,303,AB,Abia,161,NG,Nigeria,5.985662,7.469005,Q7881822
16,Umuahia North,303,AB,Abia,161,NG,Nigeria,5.5333,7.4833,Q7881829
17,Umuahia South,303,AB,Abia,161,NG,Nigeria,5.515311,7.447314,Q7881831
18,Demsa,320,AD,Adamawa,161,NG,Nigeria,9.41666667,12.13333333,Q5256418
19,Fufore,320,AD,Adamawa,161,NG,Nigeria,9.21666667,12.65,Q5507236
20,Ganye,320,AD,Adamawa,161,NG,Nigeria,8.43333,12.0667,Q5521544
21,Girei,320,AD,Adamawa,161,NG,Nigeria,9.36667,12.55,Q5564220
22,Gombi,320,AD,Adamawa,161,NG,Nigeria,10.16222222,12.74,Q5608733
23,Guyuk,320,AD,Adamawa,161,NG,Nigeria,9.90555556,11.92833333,Q5622887
24,Hong,320,AD,Adamawa,161,NG,Nigeria,10.23166667,12.93027778,Q5894008
25,Jada,320,AD,Adamawa,161,NG,Nigeria,8.76666667,12.15,Q6121167
26,Lamurde,320,AD,Adamawa,161,NG,Nigeria,9.6,11.78333333,Q13140505
27,Madagali,320,AD,Adamawa,161,NG,Nigeria,10.74611111,13.41583333,Q6726121
28,Maiha,320,AD,Adamawa,161,NG,Nigeria,9.99555556,13.21805556,Q6735584
29,Mayo Belwa,320,AD,Adamawa,161,NG,Nigeria,9.05,12.05,Q6797493
30,Michika,320,AD,Adamawa,161,NG,Nigeria,10.61666667,13.38333333,Q6837873
31,Mubi North,320,AD,Adamawa,161,NG,Nigeria,10.26666667,13.26666667,Q10969312
32,Mubi South,320,AD,Adamawa,161,NG,Nigeria,10.1874,13.39576,Q6930892
