id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
18,Demsa,320,AD,Adamawa,161,NG,Nigeria,9.41666667,12.13333333,Q5256418
19,Fufore,320,AD,Adamawa,161,NG,Nigeria,9.21666667,12.65,Q5507236
20,Ganye,320,AD,Adamawa,161,NG,Nigeria,8.43333,12.0667,Q5521544
21,Girei,320,AD,Adamawa,161,NG,Nigeria,9.36667,12.55,Q5564220
22,Gombi,320,AD,Adamawa,161,NG,Nigeria,10.16222222,12.74,Q5608733
23,Guyuk,320,AD,Adamawa,161,NG,Nigeria,9.90555556,11.92833333,Q5622887
24,Hong,320,AD,Adamawa,161,NG,Nigeria,10.23166667,12.93027778,Q5894008
25,Jada,320,AD,Adamawa,161,NG,Nigeria,8.76666667,12.15,Q6121167
26,Lamurde,320,AD,Adamawa,161,NG,Nigeria,9.6,11.78333333,Q13140505
27,Madagali,320,AD,Adamawa,161,NG,Nigeria,10.74611111,13.41583333,Q6726121
28,Maiha,320,AD,Adamawa,161,NG,Nigeria,9.99555556,13.21805556,Q6735584
29,Mayo Belwa,320,AD,Adamawa,161,NG,Nigeria,9.05,12.05,Q6797493
30,Michika,320,AD,Adamawa,161,NG,Nigeria,10.61666667,13.38333333,Q6837873
31,Mubi North,320,AD,Adamawa,161,NG,Nigeria,10.26666667,13.26666667,Q10969312
32,Mubi South,320,AD,Adamawa,161,NG,Nigeria,10.1874,13.39576,Q6930892
33,Numan,320,AD,Adamawa,161,NG,Nigeria,9.46694444,12.03277778,Q3510590
34,Shelleng,320,AD,Adamawa,161,NG,Nigeria,9.88472222,12.00888889,Q4713068
35,Song,320,AD,Adamawa,161,NG,Nigeria,9.82444444,12.625,Q7560957
36,Toungo,320,AD,Adamawa,161,NG,Nigeria,8.11666667,12.05,Q7828915
37,Yola North,320,AD,Adamawa,161,NG,Nigeria,9.188528,12.393866,Q8054712
38,Yola South,320,AD,Adamawa,161,NG,Nigeria,9.249949,12.412618,Q8054714
