id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
39,Abak,304,AK,Akwa Ibom,161,NG,Nigeria,4.98333333,7.78333333,Q2820150
40,Eastern Obolo,304,AK,Akwa Ibom,161,NG,Nigeria,4.533333,7.7,Q5330341
41,Eket,304,AK,Akwa Ibom,161,NG,Nigeria,4.65,7.93333333,Q3321199
42,Esit Eket,304,AK,Akwa Ibom,161,NG,Nigeria,4.66055556,8.06666667,Q5397964
43,Essien Udim,304,AK,Akwa Ibom,161,NG,Nigeria,5.13333333,7.68333333,Q5399896
44,Etim Ekpo,304,AK,Akwa Ibom,161,NG,Nigeria,5.01666667,7.61666667,Q5404590
45,Etinan,304,AK,Akwa Ibom,161,NG,Nigeria,4.85,7.83333333,Q5404600
46,Ibeno,304,AK,Akwa Ibom,161,NG,Nigeria,4.568693,7.976396,Q5983812
47,Ibesikpo Asutan,304,AK,Akwa Ibom,161,NG,Nigeria,4.76666667,7.95,Q5983991
48,Ibiono Ibom,304,AK,Akwa Ibom,161,NG,Nigeria,5.23333333,7.88333333,Q5984067
49,Ika,304,AK,Akwa Ibom,161,NG,Nigeria,5.01666667,7.53333333,Q5995269
50,Ikono,304,AK,Akwa Ibom,161,NG,Nigeria,5.210278,7.793889,Q5996152
51,Ikot Abasi,304,AK,Akwa Ibom,161,NG,Nigeria,4.633333,7.65,Q5996219
52,Ikot Ekpene,304,AK,Akwa Ibom,161,NG,Nigeria,5.18333333,7.71666667,Q680926
53,Ini,304,AK,Akwa Ibom,161,NG,Nigeria,5.4,7.733333,Q13140466
54,Itu,304,AK,Akwa Ibom,161,NG,Nigeria,5.16666667,7.98333333,Q6095095
55,Mbo,304,AK,Akwa Ibom,161,NG,Nigeria,4.65,8.23333333,Q6799703
56,Mkpat Enin,304,AK,Akwa Ibom,161,NG,Nigeria,4.73361111,7.74861111,Q6885516
57,Nsit Atai,304,AK,Akwa Ibom,161,NG,Nigeria,4.85,8.01666667,Q7067566
58,Nsit Ibom,304,AK,Akwa Ibom,161,NG,Nigeria,4.88333333,7.9,Q7067567
59,Nsit Ubium,304,AK,Akwa Ibom,161,NG,Nigeria,4.76666667,7.93333333,Q10494314
60,Obot Akara,304,AK,Akwa Ibom,161,NG,Nigeria,5.26667,7.6,Q7075311
61,Okobo,304,AK,Akwa Ibom,161,NG,Nigeria,4.83333333,8.13333333,Q7082466
62,Onna,304,AK,Akwa Ibom,161,NG,Nigeria,4.65,7.86666667,Q7094369
63,Oron,304,AK,Akwa Ibom,161,NG,Nigeria,4.82583333,8.23388889,Q1277335
64,Oruk Anam,304,AK,Akwa Ibom,161,NG,Nigeria,4.81666667,7.65,Q7105162
65,Udung Uko,304,AK,Akwa Ibom,161,NG,Nigeria,4.76666667,8.23333333,Q7877346
66,Ukanafun,304,AK,Akwa Ibom,161,NG,Nigeria,4.9,7.6,Q7878266
67,Uruan,304,AK,Akwa Ibom,161,NG,Nigeria,5.03333333,8.05,Q11058133
68,Urue Offong/Oruko,304,AK,Akwa Ibom,161,NG,Nigeria,4.71667,8.15,Q7901410
69,Uyo,304,AK,Akwa Ibom,161,NG,Nigeria,5.03333333,7.91666667,Q1999000
