id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
119,Ado,291,BE,Benue,161,NG,Nigeria,7.8,7.65,Q4683957
120,Agatu,291,BE,Benue,161,NG,Nigeria,7.9,7.9,Q3399397
121,Apa,291,BE,Benue,161,NG,Nigeria,7.829754,8.069994,Q4778862
122,Buruku,291,BE,Benue,161,NG,Nigeria,7.416792,9.224674,Q5000980
123,Gboko,291,BE,Benue,161,NG,Nigeria,7.327778,8.995,Q2425179
124,Guma,291,BE,Benue,161,NG,Nigeria,7.823295,8.863239,Q13140438
125,Gwer East,291,BE,Benue,161,NG,Nigeria,7.298066,8.482303,Q5623550
126,Gwer West,291,BE,Benue,161,NG,Nigeria,7.584645,8.205478,Q5623546
127,Katsina Ala,291,BE,Benue,161,NG,Nigeria,7.16666667,9.28333333,Q6378033
128,Konshisha,291,BE,Benue,161,NG,Nigeria,7.071123,8.663878,Q6429829
129,Kwande,291,BE,Benue,161,NG,Nigeria,6.890043,9.233408,Q6450151
130,Logo,291,BE,Benue,161,NG,Nigeria,7.507748,9.350653,Q6667711
131,Makurdi,291,BE,Benue,161,NG,Nigeria,7.730556,8.536111,Q994096
132,Obi,291,BE,Benue,161,NG,Nigeria,7,8.25,Q4207508
133,Ogbadibo,291,BE,Benue,161,NG,Nigeria,7.13907,7.668285,Q7079868
134,Ohimini,291,BE,Benue,161,NG,Nigeria,7.23015,7.927993,Q7080670
135,Oju,291,BE,Benue,161,NG,Nigeria,6.85,8.41666667,Q7081668
136,Okpokwu,291,BE,Benue,161,NG,Nigeria,7.06277778,8.21,Q7082560
137,Otukpo,291,BE,Benue,161,NG,Nigeria,7.19305556,8.14638889,Q3511323
138,Tarka,291,BE,Benue,161,NG,Nigeria,7.620833,8.881944,Q7686233
139,Ukum,291,BE,Benue,161,NG,Nigeria,7.530801,9.649268,Q7878615
140,Ushongo,291,BE,Benue,161,NG,Nigeria,7.135788,9.032921,Q7901973
141,Vandeikya,291,BE,Benue,161,NG,Nigeria,6.782346,9.069257,Q7914377
