id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
142,Abadam,307,BO,Borno,161,NG,Nigeria,13.610953,13.277664,Q3509646
143,Askira/Uba,307,BO,Borno,161,NG,Nigeria,10.654724,12.907777,Q3509469
144,Bama,307,BO,Borno,161,NG,Nigeria,11.51888889,13.68416667,Q3331583
145,Bayo,307,BO,Borno,161,NG,Nigeria,10.441838,11.704237,Q4874676
146,Biu,307,BO,Borno,161,NG,Nigeria,10.6111,12.195,Q2904965
147,Chibok,307,BO,Borno,161,NG,Nigeria,10.86972222,12.84666667,Q5095348
148,Damboa,307,BO,Borno,161,NG,Nigeria,11.15,12.75,Q5212096
149,Dikwa,307,BO,Borno,161,NG,Nigeria,12.0239,13.9158,Q5276586
150,Gubio,307,BO,Borno,161,NG,Nigeria,12.4975,12.78,Q5610675
151,Guzamala,307,BO,Borno,161,NG,Nigeria,12.94656,13.176822,Q5622902
152,Gwoza,307,BO,Borno,161,NG,Nigeria,11.086111,13.691389,Q5623719
153,Hawul,307,BO,Borno,161,NG,Nigeria,10.451308,12.116581,Q5685688
154,Jere,307,BO,Borno,161,NG,Nigeria,11.89912,13.29155,Q13140477
155,Kaga,307,BO,Borno,161,NG,Nigeria,11.810333,12.494153,Q6346306
156,Kala/Balge,307,BO,Borno,161,NG,Nigeria,12.268627,14.464896,Q6349919
157,Konduga,307,BO,Borno,161,NG,Nigeria,11.65166667,13.41944444,Q6429051
158,Kukawa,307,BO,Borno,161,NG,Nigeria,12.91666667,13.56666667,Q128665
159,Kwaya Kusar,307,BO,Borno,161,NG,Nigeria,11.817338,13.120352,Q6450273
160,Mafa,307,BO,Borno,161,NG,Nigeria,11.92583333,13.60555556,Q6729409
161,Magumeri,307,BO,Borno,161,NG,Nigeria,12.115657,12.83101,Q6732527
162,Maiduguri,307,BO,Borno,161,NG,Nigeria,11.83333333,13.15,Q221436
163,Marte,307,BO,Borno,161,NG,Nigeria,12.364596,13.826741,Q295517
164,Mobbar,307,BO,Borno,161,NG,Nigeria,13.103993,12.511041,Q6886647
165,Monguno,307,BO,Borno,161,NG,Nigeria,12.68333333,13.6,Q15043599
166,Ngala,307,BO,Borno,161,NG,Nigeria,12.371107,14.206223,Q7021892
167,Nganzai,307,BO,Borno,161,NG,Nigeria,12.486253,13.209321,Q7022015
168,Shani,307,BO,Borno,161,NG,Nigeria,10.183889,11.963889,Q7488621
