id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
187,Aniocha North,316,DE,Delta,161,NG,Nigeria,6.319994,6.476847,Q4765241
188,Aniocha South,316,DE,Delta,161,NG,Nigeria,6.183072,6.524367,Q4765242
189,Bomadi,316,DE,Delta,161,NG,Nigeria,5.161805,5.924511,Q4940347
190,Burutu,316,DE,Delta,161,NG,Nigeria,5.35,5.516667,Q3510499
191,Ethiope East,316,DE,Delta,161,NG,Nigeria,5.63314,6.028192,Q5403503
192,Ethiope West,316,DE,Delta,161,NG,Nigeria,5.63314,6.028192,Q5403511
193,Ika North East,316,DE,Delta,161,NG,Nigeria,6.186379,6.200409,Q5995280
194,Ika South,316,DE,Delta,161,NG,Nigeria,6.252758,6.199664,Q17139912
195,Isoko North,316,DE,Delta,161,NG,Nigeria,5.538333,6.216111,Q6085814
196,Isoko South,316,DE,Delta,161,NG,Nigeria,5.538333,6.216111,Q6085820
197,Ndokwa East,316,DE,Delta,161,NG,Nigeria,5.669319,6.523171,Q6983780
198,Ndokwa West,316,DE,Delta,161,NG,Nigeria,5.815022,6.350772,Q17109187
199,Okpe,316,DE,Delta,161,NG,Nigeria,5.43333333,5.95,Q7082548
200,Oshimili North,316,DE,Delta,161,NG,Nigeria,6.382652,6.624309,Q7106622
201,Oshimili South,316,DE,Delta,161,NG,Nigeria,6.118256,6.66583,Q7106620
202,Patani,316,DE,Delta,161,NG,Nigeria,5.2412505830419045,6.190626760617503,Q2478838
203,Sapele,316,DE,Delta,161,NG,Nigeria,5.9,5.66666667,Q3495356
204,Udu,316,DE,Delta,161,NG,Nigeria,5.75,5.716667,Q7877316
205,Ughelli North,316,DE,Delta,161,NG,Nigeria,9.75,8.71666667,Q15043628
206,Ughelli South,316,DE,Delta,161,NG,Nigeria,9.75,8.71666667,Q7877752
207,Ukwuani,316,DE,Delta,161,NG,Nigeria,5.850198,6.246481,Q7878637
208,Uvwie,316,DE,Delta,161,NG,Nigeria,5.87,6.001,Q7903753
209,Warri North,316,DE,Delta,161,NG,Nigeria,6.000089,5.466481,Q7970686
210,Warri South,316,DE,Delta,161,NG,Nigeria,5.519063,5.800606,Q7970687
211,Warri South West,316,DE,Delta,161,NG,Nigeria,5.599713,5.454881,Q7970689
