id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
225,Akoko Edo,318,ED,Edo,161,NG,Nigeria,7.275622,6.107379,Q4701504
226,Egor,318,ED,Edo,161,NG,Nigeria,6.382926,5.569175,Q5348227
227,Esan Central,318,ED,Edo,161,NG,Nigeria,6.738727,6.218905,Q5396712
228,Esan North East,318,ED,Edo,161,NG,Nigeria,6.7,6.333333,Q5396720
229,Esan South East,318,ED,Edo,161,NG,Nigeria,6.659722,6.382222,Q5396716
230,Esan West,318,ED,Edo,161,NG,Nigeria,6.753472,6.073766,Q5396721
231,Etsako Central,318,ED,Edo,161,NG,Nigeria,7.08965,6.50146,Q5404912
232,Etsako East,318,ED,Edo,161,NG,Nigeria,7.106769,6.687541,Q5404915
233,Etsako West,318,ED,Edo,161,NG,Nigeria,6.913601,6.29955,Q5404913
234,Igueben,318,ED,Edo,161,NG,Nigeria,6.6,6.58333333,Q15043602
235,Ikpoba Okha,318,ED,Edo,161,NG,Nigeria,6.256981,5.722929,Q5996228
236,Oredo,318,ED,Edo,161,NG,Nigeria,6.183772,5.596106,Q7101001
237,Orhionmwon,318,ED,Edo,161,NG,Nigeria,6.294568,6.027932,Q7102189
238,Ovia North East,318,ED,Edo,161,NG,Nigeria,6.29312,5.543304,Q7114106
239,Ovia South West,318,ED,Edo,161,NG,Nigeria,6.567402,5.353142,Q7114107
240,Owan East,318,ED,Edo,161,NG,Nigeria,6.943126,5.985832,Q7114274
241,Owan West,318,ED,Edo,161,NG,Nigeria,6.907245,5.924599,Q7114275
242,Uhunmwonde,318,ED,Edo,161,NG,Nigeria,6.617483,5.985682,Q7878024
