id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
243,Ado-Ekiti,309,EK,Ekiti,161,NG,Nigeria,7.621111,5.221389,Q359955
244,Efon,309,EK,Ekiti,161,NG,Nigeria,7.36666667,3.63333333,Q5347554
245,Ekiti East,309,EK,Ekiti,161,NG,Nigeria,7.749096,5.719633,Q3511633
246,Ekiti South West,309,EK,Ekiti,161,NG,Nigeria,7.617082,5.24349,Q3511702
247,Ekiti West,309,EK,Ekiti,161,NG,Nigeria,7.657723,5.223741,Q3331544
248,Emure,309,EK,Ekiti,161,NG,Nigeria,7.45,5.46667,Q5374891
249,Gbonyin,309,EK,Ekiti,161,NG,Nigeria,7.621623,5.239016,Q5529352
250,Ido-Osi,309,EK,Ekiti,161,NG,Nigeria,7.856505,5.175537,Q5989257
251,Ijero,309,EK,Ekiti,161,NG,Nigeria,7.81667,5.08333,Q5995177
252,Ikere,309,EK,Ekiti,161,NG,Nigeria,7.5,5.23333,Q946097
253,Ikole,309,EK,Ekiti,161,NG,Nigeria,7.78333333,5.51666667,Q5996084
254,Ilejemeje,309,EK,Ekiti,161,NG,Nigeria,7.953263,5.230908,Q5997498
255,Irepodun/Ifelodun,309,EK,Ekiti,161,NG,Nigeria,7.621111,5.221389,Q6069392
256,Ise/Orun,309,EK,Ekiti,161,NG,Nigeria,7.46,5.42,Q6079560
257,Moba,309,EK,Ekiti,161,NG,Nigeria,7.987774,5.124049,Q6886588
258,Oye,309,EK,Ekiti,161,NG,Nigeria,7.79944444,5.32833333,Q7116252
