id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
293,Aboh Mbaise,308,IM,Imo,161,NG,Nigeria,5.45,7.23333333,Q4668212
294,Ahiazu Mbaise,308,IM,Imo,161,NG,Nigeria,5.546985,7.270299,Q4695100
295,Ehime Mbano,308,IM,Imo,161,NG,Nigeria,5.66258,7.30387,Q5348582
296,Ezinihitte Mbaise,308,IM,Imo,161,NG,Nigeria,5.50511,7.367715,Q5423295
297,Ideato North,308,IM,Imo,161,NG,Nigeria,5.50511,7.367715,Q5988103
298,Ideato South,308,IM,Imo,161,NG,Nigeria,5.85,7.1,Q5988113
299,Ihitte/Uboma,308,IM,Imo,161,NG,Nigeria,5.616412,7.349424,Q5994706
300,Ikeduru,308,IM,Imo,161,NG,Nigeria,5.550556,7.066389,Q5995775
301,Isiala Mbano,308,IM,Imo,161,NG,Nigeria,5.703582,7.179541,Q6080814
302,Isu,308,IM,Imo,161,NG,Nigeria,5.68388889,7.06888889,Q11058579
303,Mbaitoli,308,IM,Imo,161,NG,Nigeria,5.587778,7.05,Q11057544
304,Ngor Okpala,308,IM,Imo,161,NG,Nigeria,5.496233,7.043545,Q7022569
305,Njaba,308,IM,Imo,161,NG,Nigeria,5.702103,7.018633,Q10491509
306,Nkwerre,308,IM,Imo,161,NG,Nigeria,5.75,7.1,Q3509029
307,Nwangele,308,IM,Imo,161,NG,Nigeria,5.725859,7.119447,Q7070734
308,Obowo,308,IM,Imo,161,NG,Nigeria,5.601592,7.320757,Q7075319
309,Oguta,308,IM,Imo,161,NG,Nigeria,5.71166667,6.80944444,Q3510973
310,Ohaji/Egbema,308,IM,Imo,161,NG,Nigeria,5.305833,6.945556,Q7080607
311,Okigwe,308,IM,Imo,161,NG,Nigeria,5.483,7.55,Q3509182
312,Onuimo,308,IM,Imo,161,NG,Nigeria,5.77363,7.2411,Q7095088
313,Orlu,308,IM,Imo,161,NG,Nigeria,5.79638889,7.03888889,Q3508985
314,Orsu,308,IM,Imo,161,NG,Nigeria,5.853889,6.86,Q7104193
315,Oru East,308,IM,Imo,161,NG,Nigeria,5.983333,6.983333,Q7105120
316,Oru West,308,IM,Imo,161,NG,Nigeria,5.735833,6.883333,Q7105149
317,Owerri Municipal,308,IM,Imo,161,NG,Nigeria,5.485,7.035,Q7114779
318,Owerri North,308,IM,Imo,161,NG,Nigeria,5.456667,7.102778,Q7114782
319,Owerri West,308,IM,Imo,161,NG,Nigeria,5.476513,6.979718,Q7114784
