id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
320,Auyo,288,JI,Jigawa,161,NG,Nigeria,12.36,9.98555556,Q4827336
321,Babura,288,JI,Jigawa,161,NG,Nigeria,12.63333333,8.96666667,Q4838099
322,Biriniwa,288,JI,Jigawa,161,NG,Nigeria,12.7833,10.2333,Q13140398
323,Birnin Kudu,288,JI,Jigawa,161,NG,Nigeria,11.45,9.475,Q4916902
324,Buji,288,JI,Jigawa,161,NG,Nigeria,11.66371,9.730518,Q4986741
325,Dutse,288,JI,Jigawa,161,NG,Nigeria,11.70111111,9.34194444,Q1023713
326,Gagarawa,288,JI,Jigawa,161,NG,Nigeria,12.407564,9.528397,Q5516809
327,Garki,288,JI,Jigawa,161,NG,Nigeria,12.432259,9.181244,Q5523392
328,Gumel,288,JI,Jigawa,161,NG,Nigeria,12.62833333,9.38972222,Q1023716
329,Guri,288,JI,Jigawa,161,NG,Nigeria,37.6,127.15,Q42071
330,Gwaram,288,JI,Jigawa,161,NG,Nigeria,11.185833,9.968611,Q5623339
331,Gwiwa,288,JI,Jigawa,161,NG,Nigeria,12.736914,8.271095,Q5623681
332,Hadejia,288,JI,Jigawa,161,NG,Nigeria,12.45,10.04,Q5637733
333,Jahun,288,JI,Jigawa,161,NG,Nigeria,12.06666667,9.63333333,Q6123326
334,Kafin Hausa,288,JI,Jigawa,161,NG,Nigeria,11.981763,8.496467,Q218744
335,Kaugama,288,JI,Jigawa,161,NG,Nigeria,12.4833,9.73333,Q6378697
336,Kazaure,288,JI,Jigawa,161,NG,Nigeria,12.6528,8.41194,Q6380928
337,Kiri Kasama,288,JI,Jigawa,161,NG,Nigeria,12.594408,10.214753,Q6415076
338,Kiyawa,288,JI,Jigawa,161,NG,Nigeria,11.78472222,9.60833333,Q6418966
339,Maigatari,288,JI,Jigawa,161,NG,Nigeria,12.804038,9.448007,Q7682218
340,Malam Madori,288,JI,Jigawa,161,NG,Nigeria,12.554071,10.028136,Q6741213
341,Miga,288,JI,Jigawa,161,NG,Nigeria,12.23333333,9.71666667,Q3857126
342,Ringim,288,JI,Jigawa,161,NG,Nigeria,12.28333333,9.46666667,Q7334893
343,Roni,288,JI,Jigawa,161,NG,Nigeria,12.566481,8.347088,Q7365684
344,Sule Tankarkar,288,JI,Jigawa,161,NG,Nigeria,12.65577,9.18751,Q7636102
345,Taura,288,JI,Jigawa,161,NG,Nigeria,50.91833333,12.84083333,Q71057
346,Yankwashi,288,JI,Jigawa,161,NG,Nigeria,12.743623,8.53892,Q8048834
