id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
347,Birnin Gwari,294,KD,Kaduna,161,NG,Nigeria,10.6667,6.55,Q13140400
348,Chikun,294,KD,Kaduna,161,NG,Nigeria,10.285059,7.110283,Q5097501
349,Giwa,294,KD,Kaduna,161,NG,Nigeria,11.280784,7.417606,Q5565892
350,Igabi,294,KD,Kaduna,161,NG,Nigeria,10.78333333,7.76666667,Q5991414
351,Ikara,294,KD,Kaduna,161,NG,Nigeria,11.1833,8.23333,Q5995371
352,Jaba,294,KD,Kaduna,161,NG,Nigeria,9.44818,8.00845,Q13140472
353,Jema'a,294,KD,Kaduna,161,NG,Nigeria,9.578827,8.292147,Q6177061
354,Kachia,294,KD,Kaduna,161,NG,Nigeria,9.872636,7.955089,Q6344670
355,Kaduna North,294,KD,Kaduna,161,NG,Nigeria,9.923174,7.430551,Q13140547
356,Kaduna South,294,KD,Kaduna,161,NG,Nigeria,10.464834,7.418024,Q6345763
357,Kagarko,294,KD,Kaduna,161,NG,Nigeria,9.45,7.68333333,Q6346376
358,Kajuru,294,KD,Kaduna,161,NG,Nigeria,9.489736,7.695075,Q6349067
359,Kaura,294,KD,Kaduna,161,NG,Nigeria,9.630686,8.503075,Q6378873
360,Kauru,294,KD,Kaduna,161,NG,Nigeria,10.65,8.15,Q6378904
361,Kubau,294,KD,Kaduna,161,NG,Nigeria,10.96289,8.392213,Q6441191
362,Kudan,294,KD,Kaduna,161,NG,Nigeria,11.26478,7.648952,Q6441647
363,Lere,294,KD,Kaduna,161,NG,Nigeria,10.416589,8.681673,Q6528787
364,Makarfi,294,KD,Kaduna,161,NG,Nigeria,11.29795,7.96917,Q6738780
365,Sabon Gari,294,KD,Kaduna,161,NG,Nigeria,11.1167,7.73333,Q7396283
366,Sanga,294,KD,Kaduna,161,NG,Nigeria,9.225183,8.459182,Q5290125
367,Soba,294,KD,Kaduna,161,NG,Nigeria,10.984935,8.058804,Q7549885
368,Zangon Kataf,294,KD,Kaduna,161,NG,Nigeria,9.784597,8.283949,Q8066201
369,Zaria,294,KD,Kaduna,161,NG,Nigeria,11.06666667,7.7,Q147975
