id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
414,Bakori,313,KT,Katsina,161,NG,Nigeria,11.55,7.43333333,Q4849509
415,Batagarawa,313,KT,Katsina,161,NG,Nigeria,12.9,7.61666667,Q4868527
416,Batsari,313,KT,Katsina,161,NG,Nigeria,12.75277778,7.24194444,Q4869633
417,Baure,313,KT,Katsina,161,NG,Nigeria,12.78333333,8.76666667,Q4873577
418,Bindawa,313,KT,Katsina,161,NG,Nigeria,12.71666667,7.83333333,Q4913977
419,Charanchi,313,KT,Katsina,161,NG,Nigeria,12.675,7.7275,Q5073921
420,Dan Musa,313,KT,Katsina,161,NG,Nigeria,12.26388889,7.33388889,Q5214083
421,DanDume,313,KT,Katsina,161,NG,Nigeria,11.41666667,7.2,Q5215754
422,Danja,313,KT,Katsina,161,NG,Nigeria,11.38333333,7.56666667,Q5219922
423,Daura,313,KT,Katsina,161,NG,Nigeria,13.03638889,8.31777778,Q1173023
424,Dutsi,313,KT,Katsina,161,NG,Nigeria,12.82527778,8.14277778,Q5317531
425,Dutsin-Ma,313,KT,Katsina,161,NG,Nigeria,12.455,7.49138889,Q5317533
426,Faskari,313,KT,Katsina,161,NG,Nigeria,11.71666667,7.03333333,Q5436812
427,Funtua,313,KT,Katsina,161,NG,Nigeria,11.53333333,7.31666667,Q3056264
428,Ingawa,313,KT,Katsina,161,NG,Nigeria,12.63972222,8.05027778,Q15043610
429,Jibia,313,KT,Katsina,161,NG,Nigeria,13.09166667,7.22638889,Q6192032
430,Kafur,313,KT,Katsina,161,NG,Nigeria,11.65,7.7,Q6346293
431,Kaita,313,KT,Katsina,161,NG,Nigeria,13.08055556,7.75388889,Q6348575
432,Kankara,313,KT,Katsina,161,NG,Nigeria,11.930319,7.412649,Q6363677
433,Kankia,313,KT,Katsina,161,NG,Nigeria,12.46666667,7.8,Q6363735
434,Katsina,313,KT,Katsina,161,NG,Nigeria,12.98888889,7.60083333,Q937487
435,Kurfi,313,KT,Katsina,161,NG,Nigeria,12.66611111,7.48305556,Q6445904
436,Kusada,313,KT,Katsina,161,NG,Nigeria,12.46666667,7.98333333,Q6447735
437,Mai'Adua,313,KT,Katsina,161,NG,Nigeria,13.19055556,8.21166667,Q6735083
438,Malumfashi,313,KT,Katsina,161,NG,Nigeria,11.8,7.61666667,Q6744962
439,Mani,313,KT,Katsina,161,NG,Nigeria,12.85611111,7.87444444,Q6749389
440,Mashi,313,KT,Katsina,161,NG,Nigeria,13.1,8,Q6783140
441,Matazu,313,KT,Katsina,161,NG,Nigeria,12.2333,7.66667,Q6786185
442,Musawa,313,KT,Katsina,161,NG,Nigeria,12.12944444,7.66888889,Q10474195
443,Rimi,313,KT,Katsina,161,NG,Nigeria,12.85,7.71555556,Q7334455
444,Sabuwa,313,KT,Katsina,161,NG,Nigeria,11.3,7.11666667,Q7396498
445,Safana,313,KT,Katsina,161,NG,Nigeria,12.5,7.23333333,Q7398366
446,Sandamu,313,KT,Katsina,161,NG,Nigeria,12.93333333,8.36666667,Q7415981
447,Zango,313,KT,Katsina,161,NG,Nigeria,12.93333333,8.53333333,Q8066198
