id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
448,Aliero,290,KE,Kebbi,161,NG,Nigeria,12.29654,4.42793,Q4714427
449,Arewa Dandi,290,KE,Kebbi,161,NG,Nigeria,12.688388,4.074184,Q4789123
450,Argungu,290,KE,Kebbi,161,NG,Nigeria,12.73333333,4.51666667,Q652068
451,Augie,290,KE,Kebbi,161,NG,Nigeria,12.88333333,4.6,Q4820393
452,Bagudo,290,KE,Kebbi,161,NG,Nigeria,11.400095,4.225767,Q800145
453,Birnin Kebbi,290,KE,Kebbi,161,NG,Nigeria,12.45361111,4.20027778,Q865828
454,Bunza,290,KE,Kebbi,161,NG,Nigeria,12.0916,4.0108,Q1707615
455,Dandi,290,KE,Kebbi,161,NG,Nigeria,12.68333333,8.66666667,Q9285759
456,Danko-Wasagu,290,KE,Kebbi,161,NG,Nigeria,11.395688,5.485568,Q7971327
457,Fakai,290,KE,Kebbi,161,NG,Nigeria,11.547523,4.96493,Q5431445
458,Gwandu,290,KE,Kebbi,161,NG,Nigeria,12.50222222,4.6425,Q1337777
459,Jega,290,KE,Kebbi,161,NG,Nigeria,12.3667,4.6333,Q1707534
460,Kalgo,290,KE,Kebbi,161,NG,Nigeria,12.33257,4.20035,Q13140479
461,Koko/Besse,290,KE,Kebbi,161,NG,Nigeria,11.45855,4.43782,Q6426701
462,Maiyama,290,KE,Kebbi,161,NG,Nigeria,11.99054,4.35394,Q6737240
463,Ngaski,290,KE,Kebbi,161,NG,Nigeria,10.40709,4.71781,Q7022112
464,Sakaba,290,KE,Kebbi,161,NG,Nigeria,11.065401,5.596032,Q7402731
465,Shanga,290,KE,Kebbi,161,NG,Nigeria,11.1958,4.5675,Q11058523
466,Suru,290,KE,Kebbi,161,NG,Nigeria,11.83,4.096667,Q7646970
467,Yauri,290,KE,Kebbi,161,NG,Nigeria,11.395688,5.485568,Q8050359
468,Zuru,290,KE,Kebbi,161,NG,Nigeria,11.435,5.235,Q8075416
