id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
469,Adavi,298,KO,Kogi,161,NG,Nigeria,7.66666667,6.45,Q4680897
470,Ajaokuta,298,KO,Kogi,161,NG,Nigeria,7.55611111,6.655,Q3509230
471,Ankpa,298,KO,Kogi,161,NG,Nigeria,7.43333333,7.63333333,Q4766098
472,Bassa,298,KO,Kogi,161,NG,Nigeria,7.9,7.05,Q4867995
473,Dekina,298,KO,Kogi,161,NG,Nigeria,7.58333333,7.2,Q5252818
474,Ibaji,298,KO,Kogi,161,NG,Nigeria,6.86666667,6.8,Q5983615
475,Idah,298,KO,Kogi,161,NG,Nigeria,7.08333333,6.75,Q3048500
476,Igalamela Odolu,298,KO,Kogi,161,NG,Nigeria,7.08333333,7.08333333,Q5991434
477,Ijumu,298,KO,Kogi,161,NG,Nigeria,7.85,5.96666667,Q5995233
478,Kabba/Bunu,298,KO,Kogi,161,NG,Nigeria,8.11666667,6.15,Q6343980
479,Kogi,298,KO,Kogi,161,NG,Nigeria,7.5,6.7,Q387745
480,Lokoja,298,KO,Kogi,161,NG,Nigeria,7.80194444,6.74416667,Q994085
481,Mopa-Muro,298,KO,Kogi,161,NG,Nigeria,8.09722222,5.89583333,Q6908772
482,Ofu,298,KO,Kogi,161,NG,Nigeria,7.33333333,7.08333333,Q10676724
483,Ogori/Magongo,298,KO,Kogi,161,NG,Nigeria,7.483333,6.216667,Q7080208
484,Okehi,298,KO,Kogi,161,NG,Nigeria,7.7,6.3,Q7081917
485,Okene,298,KO,Kogi,161,NG,Nigeria,7.55,6.23333333,Q2017187
486,Olamaboro,298,KO,Kogi,161,NG,Nigeria,7.18333,7.56667,Q7083067
487,Omala,298,KO,Kogi,161,NG,Nigeria,7.81666667,7.51666667,Q7089500
488,Yagba East,298,KO,Kogi,161,NG,Nigeria,8.16666667,5.7,Q8046693
489,Yagba West,298,KO,Kogi,161,NG,Nigeria,8.25,5.55,Q8046694
