id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
490,Asa,295,KW,Kwara,161,NG,Nigeria,8.324804,4.533673,Q3510490
491,Baruten,295,KW,Kwara,161,NG,Nigeria,9.58333333,3.25,Q4865926
492,Edu,295,KW,Kwara,161,NG,Nigeria,8.841903,5.399178,Q5340346
493,Ekiti,295,KW,Kwara,161,NG,Nigeria,8.139435,5.32809,Q3511682
494,Ifelodun,295,KW,Kwara,161,NG,Nigeria,8.820023,4.967322,Q5991150
495,Ilorin East,295,KW,Kwara,161,NG,Nigeria,8.573234,4.703608,Q6001095
496,Ilorin South,295,KW,Kwara,161,NG,Nigeria,8.498688,4.562779,Q16733661
497,Ilorin West,295,KW,Kwara,161,NG,Nigeria,8.480048,4.614006,Q6001104
498,Irepodun,295,KW,Kwara,161,NG,Nigeria,8.487457,4.527301,Q10303589
499,Isin,295,KW,Kwara,161,NG,Nigeria,8.2579064,5.038849070678933,Q501259
500,Kaiama,295,KW,Kwara,161,NG,Nigeria,9.605193,3.941946,Q14653808
501,Moro,295,KW,Kwara,161,NG,Nigeria,8.845,4.556667,Q6913056
502,Offa,295,KW,Kwara,161,NG,Nigeria,8.147,4.72,Q2015456
503,Oke-Ero,295,KW,Kwara,161,NG,Nigeria,8.088888,5.144659,Q7081881
504,Oyun,295,KW,Kwara,161,NG,Nigeria,8.16827,4.65212,Q7116389
505,Pategi,295,KW,Kwara,161,NG,Nigeria,8.73333333,5.75,Q7144399
