id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
506,Agege,306,LA,Lagos,161,NG,Nigeria,6.62194444,3.32583333,Q3509545
507,Ajeromi-Ifelodun,306,LA,Lagos,161,NG,Nigeria,6.4448,3.3339,Q3509013
508,Alimosho,306,LA,Lagos,161,NG,Nigeria,6.61055556,3.29583333,Q3509580
509,Amuwo-Odofin,306,LA,Lagos,161,NG,Nigeria,6.45,3.266667,Q3509621
510,Apapa,306,LA,Lagos,161,NG,Nigeria,6.45,3.36666667,Q617618
511,Badagry,306,LA,Lagos,161,NG,Nigeria,6.41666667,2.88333333,Q798812
512,Epe,306,LA,Lagos,161,NG,Nigeria,6.58333333,3.98333333,Q1023707
513,Eti-Osa,306,LA,Lagos,161,NG,Nigeria,6.437443,3.564588,Q5404527
514,Ibeju-Lekki,306,LA,Lagos,161,NG,Nigeria,6.416667,2.883333,Q5983804
515,Ifako-Ijaiye,306,LA,Lagos,161,NG,Nigeria,6.68472222,3.28888889,Q5991116
516,Ikeja,306,LA,Lagos,161,NG,Nigeria,6.6,3.35,Q1024647
517,Ikorodu,306,LA,Lagos,161,NG,Nigeria,6.6,3.5,Q1658159
518,Kosofe,306,LA,Lagos,161,NG,Nigeria,6.556879,3.384174,Q6433326
519,Lagos Island,306,LA,Lagos,161,NG,Nigeria,6.45,3.4,Q605583
520,Lagos Mainland,306,LA,Lagos,161,NG,Nigeria,6.504937,3.386503,Q6472602
521,Mushin,306,LA,Lagos,161,NG,Nigeria,6.53333333,3.35,Q3139881
522,Ojo,306,LA,Lagos,161,NG,Nigeria,6.46666667,3.18333333,Q623249
523,Oshodi-Isolo,306,LA,Lagos,161,NG,Nigeria,6.511865,3.308021,Q7106648
524,Somolu,306,LA,Lagos,161,NG,Nigeria,6.540833,3.387222,Q280585
525,Surulere,306,LA,Lagos,161,NG,Nigeria,6.5,3.35,Q994119
