id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
526,Akwanga,301,NA,Nasarawa,161,NG,Nigeria,8.91666667,8.38333333,Q4702008
527,Awe,301,NA,Nasarawa,161,NG,Nigeria,7.823611,3.95,Q11010622
528,Doma,301,NA,Nasarawa,161,NG,Nigeria,8.396241,8.35864,Q5289773
529,Karu,301,NA,Nasarawa,161,NG,Nigeria,9.019231,7.613516,Q6373591
530,Keana,301,NA,Nasarawa,161,NG,Nigeria,8.147346,8.800478,Q6382153
531,Keffi,301,NA,Nasarawa,161,NG,Nigeria,8.8464,7.8733,Q3510599
532,Kokona,301,NA,Nasarawa,161,NG,Nigeria,8.85,5.08333333,Q6426774
533,Lafia,301,NA,Nasarawa,161,NG,Nigeria,8.49166667,8.51666667,Q1023721
534,Nasarawa,301,NA,Nasarawa,161,NG,Nigeria,8.53333333,8.3,Q836645
535,Nasarawa Egon,301,NA,Nasarawa,161,NG,Nigeria,8.741115,8.542192,Q17109172
536,Obi,301,NA,Nasarawa,161,NG,Nigeria,7,8.25,Q4207508
537,Toto,301,NA,Nasarawa,161,NG,Nigeria,8.388021,7.078199,Q7828363
538,Wamba,301,NA,Nasarawa,161,NG,Nigeria,8.93333333,8.6,Q3331559
