id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
539,Agaie,317,NI,Niger,161,NG,Nigeria,9.01666667,6.31666667,Q3510662
540,Agwara,317,NI,Niger,161,NG,Nigeria,10.7,4.58333333,Q4694720
541,Bida,317,NI,Niger,161,NG,Nigeria,9.08333333,6.01666667,Q3320844
542,Borgu,317,NI,Niger,161,NG,Nigeria,11,3.5,Q893575
543,Bosso,317,NI,Niger,161,NG,Nigeria,9.651457,6.526626,Q13140406
544,Chanchaga,317,NI,Niger,161,NG,Nigeria,9.61388889,6.55694444,Q5070843
545,Edati,317,NI,Niger,161,NG,Nigeria,9.05,5.65,Q5335717
546,Gbako,317,NI,Niger,161,NG,Nigeria,9.26666667,5.98333333,Q5529303
547,Gurara,317,NI,Niger,161,NG,Nigeria,9.35,7.08333333,Q13140440
548,Katcha,317,NI,Niger,161,NG,Nigeria,9.15,6.23333333,Q6375298
549,Kontagora,317,NI,Niger,161,NG,Nigeria,10.403,5.473,Q994129
550,Lapai,317,NI,Niger,161,NG,Nigeria,8.81666667,6.68333333,Q13140504
551,Lavun,317,NI,Niger,161,NG,Nigeria,9.45,5.63333333,Q6502882
552,Magama,317,NI,Niger,161,NG,Nigeria,10.46666667,5.05,Q6729655
553,Mariga,317,NI,Niger,161,NG,Nigeria,10.7,5.83333333,Q13140509
554,Mashegu,317,NI,Niger,161,NG,Nigeria,9.95,5.21666667,Q6783100
555,Mokwa,317,NI,Niger,161,NG,Nigeria,9.2,5.33333333,Q6895614
556,Munya,317,NI,Niger,161,NG,Nigeria,9.78333,7.03333,Q6937031
557,Paikoro,317,NI,Niger,161,NG,Nigeria,9.43333,6.63333,Q7124754
558,Rafi,317,NI,Niger,161,NG,Nigeria,10.18444444,6.25333333,Q7282616
559,Rijau,317,NI,Niger,161,NG,Nigeria,11.1,5.26666667,Q7333948
560,Shiroro,317,NI,Niger,161,NG,Nigeria,9.95694444,6.83194444,Q7498951
561,Suleja,317,NI,Niger,161,NG,Nigeria,9.18333333,7.18333333,Q3505231
562,Tafa,317,NI,Niger,161,NG,Nigeria,9.25,7.25,Q7674909
563,Wushishi,317,NI,Niger,161,NG,Nigeria,9.721763,6.111317,Q8039343
