id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
564,Abeokuta North,323,OG,Ogun,161,NG,Nigeria,7.2,3.2,Q3509588
565,Abeokuta South,323,OG,Ogun,161,NG,Nigeria,7.15,3.35,Q3509517
566,Ado-Odo/Ota,323,OG,Ogun,161,NG,Nigeria,6.63333333,3.1,Q3510345
567,Ewekoro,323,OG,Ogun,161,NG,Nigeria,6.93333333,3.21666667,Q5418952
568,Ifo,323,OG,Ogun,161,NG,Nigeria,6.81666667,3.2,Q5991216
569,Ijebu East,323,OG,Ogun,161,NG,Nigeria,6.73333333,4.16666667,Q5995157
570,Ijebu North,323,OG,Ogun,161,NG,Nigeria,6.95,4,Q5995160
571,Ijebu North East,323,OG,Ogun,161,NG,Nigeria,6.9,4.01666667,Q10301003
572,Ijebu Ode,323,OG,Ogun,161,NG,Nigeria,6.82083333,3.92083333,Q1023726
573,Ikenne,323,OG,Ogun,161,NG,Nigeria,6.86666667,3.71666667,Q5995826
574,Imeko Afon,323,OG,Ogun,161,NG,Nigeria,7.63333333,2.86666667,Q6003726
575,Ipokia,323,OG,Ogun,161,NG,Nigeria,6.53333333,2.85,Q6065226
576,Obafemi Owode,323,OG,Ogun,161,NG,Nigeria,6.95,3.5,Q7074576
577,Odeda,323,OG,Ogun,161,NG,Nigeria,7.21666667,3.51666667,Q7077620
578,Odogbolu,323,OG,Ogun,161,NG,Nigeria,6.76666667,3.8,Q10667640
579,Ogun Waterside,323,OG,Ogun,161,NG,Nigeria,6.48333333,4.4,Q7080284
580,Remo North,323,OG,Ogun,161,NG,Nigeria,7,3.71666667,Q7312042
581,Shagamu,323,OG,Ogun,161,NG,Nigeria,6.83333333,3.65,Q2276423
582,Yewa North,323,OG,Ogun,161,NG,Nigeria,7.15,2.91666667,Q8053331
583,Yewa South,323,OG,Ogun,161,NG,Nigeria,6.8,2.95,Q3511626
