id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
584,Akoko North East,321,ON,Ondo,161,NG,Nigeria,7.516667,5.75,Q4701505
585,Akoko North West,321,ON,Ondo,161,NG,Nigeria,7.643346,5.76057,Q4701507
586,Akoko South East,321,ON,Ondo,161,NG,Nigeria,7.451155,5.910301,Q4701508
587,Akoko South West,321,ON,Ondo,161,NG,Nigeria,7.45439,5.801639,Q4701509
588,Akure North,321,ON,Ondo,161,NG,Nigeria,7.26277778,5.31583333,Q4701973
589,Akure South,321,ON,Ondo,161,NG,Nigeria,7.2075,5.18833333,Q4701976
590,Ese Odo,321,ON,Ondo,161,NG,Nigeria,6.25754,5.000496,Q5397549
591,Idanre,321,ON,Ondo,161,NG,Nigeria,7.09222222,5.13222222,Q5987687
592,Ifedore,321,ON,Ondo,161,NG,Nigeria,7.343085,5.108323,Q5991144
593,Ilaje,321,ON,Ondo,161,NG,Nigeria,6.369232,4.784181,Q5996946
594,Ile Oluji/Okeigbo,321,ON,Ondo,161,NG,Nigeria,7.166442,4.724235,Q5997398
595,Irele,321,ON,Ondo,161,NG,Nigeria,6.48333333,4.86666667,Q6068743
596,Odigbo,321,ON,Ondo,161,NG,Nigeria,6.793915,4.867455,Q7077787
597,Okitipupa,321,ON,Ondo,161,NG,Nigeria,6.55,4.71666667,Q11441396
598,Ondo East,321,ON,Ondo,161,NG,Nigeria,7.065508,4.931343,Q7092206
599,Ondo West,321,ON,Ondo,161,NG,Nigeria,7.09727,4.84115,Q7092211
600,Ose,321,ON,Ondo,161,NG,Nigeria,6.922762,5.777478,Q7106447
601,Owo,321,ON,Ondo,161,NG,Nigeria,7.18333333,5.58333333,Q1788128
