id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
602,Ayedaade,322,OS,Osun,161,NG,Nigeria,7.31666667,4.35,Q4699405
603,Aiyedire,322,OS,Osun,161,NG,Nigeria,7.56666667,4.23333333,Q4699407
604,Atakunmosa East,322,OS,Osun,161,NG,Nigeria,7.48333,4.78333,Q4812674
605,Atakunmosa West,322,OS,Osun,161,NG,Nigeria,7.55,4.66667,Q4812675
606,Boluwaduro,322,OS,Osun,161,NG,Nigeria,7.9,4.81666667,Q4940287
607,Boripe,322,OS,Osun,161,NG,Nigeria,7.86666667,4.65833333,Q4945164
608,Ede North,322,OS,Osun,161,NG,Nigeria,7.73333333,4.48333333,Q5336721
609,Ede South,322,OS,Osun,161,NG,Nigeria,7.7,4.45,Q5336722
610,Egbedore,322,OS,Osun,161,NG,Nigeria,7.81666667,4.43333333,Q3511620
611,Ejigbo,322,OS,Osun,161,NG,Nigeria,7.9,4.315,Q5350128
612,Ife Central,322,OS,Osun,161,NG,Nigeria,7.55,4.53333333,Q3509568
613,Ife East,322,OS,Osun,161,NG,Nigeria,7.45,4.6,Q5991130
614,Ife North,322,OS,Osun,161,NG,Nigeria,7.36666667,4.46666667,Q11008758
615,Ife South,322,OS,Osun,161,NG,Nigeria,7.2,4.6,Q5991132
616,Ifedayo,322,OS,Osun,161,NG,Nigeria,7.95,4.98333333,Q5991148
617,Ifelodun,322,OS,Osun,161,NG,Nigeria,7.91667,4.66667,Q3509603
618,Ila,322,OS,Osun,161,NG,Nigeria,8.01666667,4.9,Q3305665
619,Ilesa East,322,OS,Osun,161,NG,Nigeria,7.61666667,4.76666667,Q3509533
620,Ilesa West,322,OS,Osun,161,NG,Nigeria,7.65,4.71666667,Q3509434
621,Irepodun,322,OS,Osun,161,NG,Nigeria,7.83333,4.48333,Q3509552
622,Irewole,322,OS,Osun,161,NG,Nigeria,7.41666667,4.21666667,Q3509478
623,Isokan,322,OS,Osun,161,NG,Nigeria,7.3,4.18333333,Q3510368
624,Iwo,322,OS,Osun,161,NG,Nigeria,7.63333333,4.18333333,Q1665608
625,Obokun,322,OS,Osun,161,NG,Nigeria,7.78333333,4.76666667,Q7075260
626,Odo-Otin,322,OS,Osun,161,NG,Nigeria,8.01666667,4.7,Q3509495
627,Ola-Oluwa,322,OS,Osun,161,NG,Nigeria,7.78333333,4.21666667,Q3510394
628,Olorunda,322,OS,Osun,161,NG,Nigeria,7.86666667,4.58333333,Q3509362
629,Oriade,322,OS,Osun,161,NG,Nigeria,7.58333333,4.86666667,Q3510511
630,Orolu,322,OS,Osun,161,NG,Nigeria,7.9,4.45,Q3509498
631,Osogbo,322,OS,Osun,161,NG,Nigeria,7.76666667,4.56666667,Q868203
