id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
632,Afijio,296,OY,Oyo,161,NG,Nigeria,7.8,3.9,Q4689246
633,Akinyele,296,OY,Oyo,161,NG,Nigeria,7.523735,3.914781,Q4701091
634,Atiba,296,OY,Oyo,161,NG,Nigeria,7.849454,3.930354,Q4815763
635,Atisbo,296,OY,Oyo,161,NG,Nigeria,8.549788,3.45,Q4815853
636,Egbeda,296,OY,Oyo,161,NG,Nigeria,7.381337,3.966501,Q5347703
637,Ibadan North,296,OY,Oyo,161,NG,Nigeria,7.403239,3.913107,Q5983592
638,Ibadan North East,296,OY,Oyo,161,NG,Nigeria,7.401536,3.938985,Q5983595
639,Ibadan North West,296,OY,Oyo,161,NG,Nigeria,7.395799,3.881569,Q5983588
640,Ibadan South East,296,OY,Oyo,161,NG,Nigeria,7.37577,3.897557,Q11058510
641,Ibadan South West,296,OY,Oyo,161,NG,Nigeria,7.396389,3.916667,Q5983608
642,Ibarapa Central,296,OY,Oyo,161,NG,Nigeria,7.435346,3.288581,Q11290392
643,Ibarapa East,296,OY,Oyo,161,NG,Nigeria,7.549722,3.45,Q11290895
644,Ibarapa North,296,OY,Oyo,161,NG,Nigeria,7.564226,3.229916,Q5983733
645,Ido,296,OY,Oyo,161,NG,Nigeria,7.507354,3.719376,Q3331530
646,Irepo,296,OY,Oyo,161,NG,Nigeria,7.350425,3.880304,Q6069380
647,Iseyin,296,OY,Oyo,161,NG,Nigeria,7.96666667,3.6,Q1673881
648,Itesiwaju,296,OY,Oyo,161,NG,Nigeria,7.358763,3.959258,Q6094439
649,Iwajowa,296,OY,Oyo,161,NG,Nigeria,7.983269,3.05274,Q6100332
650,Kajola,296,OY,Oyo,161,NG,Nigeria,8.037685,3.348942,Q11282187
651,Lagelu,296,OY,Oyo,161,NG,Nigeria,7.495026,4.073009,Q6471977
652,Ogbomosho North,296,OY,Oyo,161,NG,Nigeria,8.133333,4.25,Q7079884
653,Ogbomosho South,296,OY,Oyo,161,NG,Nigeria,8.11791,4.239092,Q7079886
654,Ogo Oluwa,296,OY,Oyo,161,NG,Nigeria,8.13524,4.24006,Q7080182
655,Olorunsogo,296,OY,Oyo,161,NG,Nigeria,8.752377,4.130988,Q7088523
656,Oluyole,296,OY,Oyo,161,NG,Nigeria,7.218,3.892,Q7088882
657,Ona Ara,296,OY,Oyo,161,NG,Nigeria,7.225568,4.026554,Q11275966
658,Oorelope,296,OY,Oyo,161,NG,Nigeria,8.833333,3.75,Q7101528
659,Ori Ire,296,OY,Oyo,161,NG,Nigeria,8.33423,4.14423,Q7102202
660,Oyo East,296,OY,Oyo,161,NG,Nigeria,7.882092,3.998755,Q7116295
661,Oyo West,296,OY,Oyo,161,NG,Nigeria,7.94157,3.8218,Q7116297
662,Saki East,296,OY,Oyo,161,NG,Nigeria,8.628418,3.640723,Q7402968
663,Saki West,296,OY,Oyo,161,NG,Nigeria,8.666667,3.4,Q7402971
664,Surulere,296,OY,Oyo,161,NG,Nigeria,6.5,3.35,Q994119
