id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
665,Barkin Ladi,302,PL,Plateau,161,NG,Nigeria,9.56667,8.91667,Q11279375
666,Bassa,302,PL,Plateau,161,NG,Nigeria,10.0833,8.73333,Q4867996
667,Bokkos,302,PL,Plateau,161,NG,Nigeria,9.25,8.88333333,Q4938795
668,Jos East,302,PL,Plateau,161,NG,Nigeria,9.91666667,9.1,Q6279114
669,Jos North,302,PL,Plateau,161,NG,Nigeria,9.91666667,8.9,Q10967141
670,Jos South,302,PL,Plateau,161,NG,Nigeria,9.76666667,8.8,Q6279136
671,Kanam,302,PL,Plateau,161,NG,Nigeria,9.56601387018746,9.991505892537331,Q50319543
672,Kanke,302,PL,Plateau,161,NG,Nigeria,9.367178899999999,9.639354933485457,Q660473
673,Langtang North,302,PL,Plateau,161,NG,Nigeria,9.13333333,9.78333333,Q6486557
674,Langtang South,302,PL,Plateau,161,NG,Nigeria,8.63333333,9.8,Q6486563
675,Mangu,302,PL,Plateau,161,NG,Nigeria,9.43333333,9.13333333,Q6749158
676,Mikang,302,PL,Plateau,161,NG,Nigeria,9,9.58333333,Q6845702
677,Pankshin,302,PL,Plateau,161,NG,Nigeria,9.327248,9.431291,Q7131329
678,Qua'an Pan,302,PL,Plateau,161,NG,Nigeria,8.8,9.15,Q7268217
679,Riyom,302,PL,Plateau,161,NG,Nigeria,9.56666667,8.66666667,Q4771953
680,Shendam,302,PL,Plateau,161,NG,Nigeria,8.71666667,9.5,Q3481875
681,Wase,302,PL,Plateau,161,NG,Nigeria,9.1,9.96666667,Q7971377
