id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
682,Abua-Odual,4926,RI,Rivers,161,NG,Nigeria,4.82972222,6.5675,Q4670480
683,Ahoada East,4926,RI,Rivers,161,NG,Nigeria,5.06833333,6.64666667,Q4696271
684,Ahoada West,4926,RI,Rivers,161,NG,Nigeria,5.08638889,6.47527778,Q4696272
685,Akuku-Toru,4926,RI,Rivers,161,NG,Nigeria,4.56,6.74972222,Q4701936
686,Andoni,4926,RI,Rivers,161,NG,Nigeria,4.54916667,7.44638889,Q4754534
687,Asari-Toru,4926,RI,Rivers,161,NG,Nigeria,4.78333333,6.85,Q4803607
688,Bonny,4926,RI,Rivers,161,NG,Nigeria,4.43333333,7.16666667,Q604978
689,Degema,4926,RI,Rivers,161,NG,Nigeria,4.57416667,6.93805556,Q5251767
690,Eleme,4926,RI,Rivers,161,NG,Nigeria,4.7875,7.14361111,Q5358807
691,Emohua,4926,RI,Rivers,161,NG,Nigeria,4.88333333,6.86666667,Q5373664
692,Etche,4926,RI,Rivers,161,NG,Nigeria,4.99,7.05,Q5402485
693,Gokana,4926,RI,Rivers,161,NG,Nigeria,4.65972222,7.2825,Q5578033
694,Ikwerre,4926,RI,Rivers,161,NG,Nigeria,5.055143,6.922417,Q5996439
695,Khana,4926,RI,Rivers,161,NG,Nigeria,4.7,7.35,Q11008655
696,Obio/Akpor,4926,RI,Rivers,161,NG,Nigeria,4.874902,6.999767,Q7074973
697,Ogba/Egbema/Ndoni,4926,RI,Rivers,161,NG,Nigeria,5.34166944,6.65556111,Q7079867
698,Ogu/Bolo,4926,RI,Rivers,161,NG,Nigeria,4.65055556,7.18305556,Q7080271
699,Okrika,4926,RI,Rivers,161,NG,Nigeria,4.74,7.083,Q7082573
700,Omuma,4926,RI,Rivers,161,NG,Nigeria,4.969419,7.020821,Q7090801
701,Opobo/Nkoro,4926,RI,Rivers,161,NG,Nigeria,4.56805556,7.55277778,Q7098375
702,Oyigbo,4926,RI,Rivers,161,NG,Nigeria,4.87806111,7.12833056,Q7116269
703,Port Harcourt,4926,RI,Rivers,161,NG,Nigeria,4.82416667,7.03361111,Q217432
704,Tai,4926,RI,Rivers,161,NG,Nigeria,4.71666667,7.3,Q7675709
