id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
705,Binji,292,SO,Sokoto,161,NG,Nigeria,13.21666667,4.91666667,Q4914402
706,Bodinga,292,SO,Sokoto,161,NG,Nigeria,12.88333333,5.16666667,Q13140401
707,Dange/Shuni,292,SO,Sokoto,161,NG,Nigeria,12.85,5.35,Q5215972
708,Gada,292,SO,Sokoto,161,NG,Nigeria,13.76666667,5.66666667,Q5516271
709,Goronyo,292,SO,Sokoto,161,NG,Nigeria,13.45305556,5.67638889,Q5586824
710,Gudu,292,SO,Sokoto,161,NG,Nigeria,13.46666667,4.43333333,Q3331551
711,Gwadabawa,292,SO,Sokoto,161,NG,Nigeria,13.3697,5.23,Q5623224
712,Illela,292,SO,Sokoto,161,NG,Nigeria,13.7325,5.30027778,Q5999073
713,Isa,292,SO,Sokoto,161,NG,Nigeria,13.20027778,6.40722222,Q6075662
714,Kware,292,SO,Sokoto,161,NG,Nigeria,13.21805556,5.26722222,Q6450223
715,Rabah,292,SO,Sokoto,161,NG,Nigeria,13.11666667,5.51666667,Q7278481
716,Sabon Birni,292,SO,Sokoto,161,NG,Nigeria,13.5611,6.325,Q7396282
717,Shagari,292,SO,Sokoto,161,NG,Nigeria,12.63333333,5,Q7461162
718,Silame,292,SO,Sokoto,161,NG,Nigeria,13.03333333,4.85,Q7514068
719,Sokoto North,292,SO,Sokoto,161,NG,Nigeria,13.05,5.23333333,Q7555307
720,Sokoto South,292,SO,Sokoto,161,NG,Nigeria,13.05,5.21666667,Q7555313
721,Tambuwal,292,SO,Sokoto,161,NG,Nigeria,12.31666667,4.8,Q7681093
722,Tangaza,292,SO,Sokoto,161,NG,Nigeria,13.5167,4.96667,Q7682831
723,Tureta,292,SO,Sokoto,161,NG,Nigeria,12.58944444,5.54694444,Q7854847
724,Wamako,292,SO,Sokoto,161,NG,Nigeria,13.03777778,5.09361111,Q7966899
725,Wurno,292,SO,Sokoto,161,NG,Nigeria,13.28416667,5.4275,Q8039303
726,Yabo,292,SO,Sokoto,161,NG,Nigeria,12.71916667,5.00616667,Q8046387
727,Kebbe,292,SO,Sokoto,161,NG,Nigeria,12.13333333,4.73333333,Q6382383
