id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
728,Ardo Kola,319,TA,Taraba,161,NG,Nigeria,8.8467,11.2067,Q4788221
729,Bali,319,TA,Taraba,161,NG,Nigeria,-8.335,115.08805556,Q3125978
730,Donga,319,TA,Taraba,161,NG,Nigeria,7.55,10.28333333,Q5295795
731,Gashaka,319,TA,Taraba,161,NG,Nigeria,7.506556,11.364155,Q5603451
732,Gassol,319,TA,Taraba,161,NG,Nigeria,8.4,10.5333,Q3510096
733,Ibi,319,TA,Taraba,161,NG,Nigeria,8.31666667,9.85,Q5984020
734,Jalingo,319,TA,Taraba,161,NG,Nigeria,8.9,11.36666667,Q1023720
735,Karim Lamido,319,TA,Taraba,161,NG,Nigeria,9.2,10.8833,Q6370612
736,Kurmi,319,TA,Taraba,161,NG,Nigeria,8.708857,10.080541,Q6446184
737,Lau,319,TA,Taraba,161,NG,Nigeria,9.18694444,11.42,Q6497586
738,Sardauna,319,TA,Taraba,161,NG,Nigeria,6.95,11.116667,Q7423783
739,Takum,319,TA,Taraba,161,NG,Nigeria,7.25,9.98333333,Q7678554
740,Ussa,319,TA,Taraba,161,NG,Nigeria,7.11666667,10.08333333,Q3331575
741,Wukari,319,TA,Taraba,161,NG,Nigeria,7.85,9.78333333,Q3509190
742,Yorro,319,TA,Taraba,161,NG,Nigeria,8.749986,11.616698,Q8055852
743,Zing,319,TA,Taraba,161,NG,Nigeria,8.993239,11.740887,Q8072371
