id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
744,Bade,297,YO,Yobe,161,NG,Nigeria,12.86666667,10.96666667,Q4840705
745,Bursari,297,YO,Yobe,161,NG,Nigeria,12.75,11.76666667,Q13140409
746,Damaturu,297,YO,Yobe,161,NG,Nigeria,11.74444444,11.96111111,Q1023722
747,Fika,297,YO,Yobe,161,NG,Nigeria,11.41666667,11.21666667,Q5448220
748,Fune,297,YO,Yobe,161,NG,Nigeria,11.88333333,11.9,Q5509089
749,Geidam,297,YO,Yobe,161,NG,Nigeria,12.71666667,12.03333333,Q5530097
750,Gujba,297,YO,Yobe,161,NG,Nigeria,11.49777778,11.93083333,Q5617047
751,Gulani,297,YO,Yobe,161,NG,Nigeria,11,11.71666667,Q13140437
752,Jakusko,297,YO,Yobe,161,NG,Nigeria,12.41666667,10.93333333,Q13140476
753,Karasuwa,297,YO,Yobe,161,NG,Nigeria,13,10.78333333,Q15043631
754,Machina,297,YO,Yobe,161,NG,Nigeria,13.1,10,Q6723600
755,Nangere,297,YO,Yobe,161,NG,Nigeria,11.85,10.96666667,Q6963508
756,Nguru,297,YO,Yobe,161,NG,Nigeria,12.875,10.458333,Q3508977
757,Potiskum,297,YO,Yobe,161,NG,Nigeria,11.7092,11.0694,Q3309364
758,Tarmuwa,297,YO,Yobe,161,NG,Nigeria,12.2,11.78333333,Q7686367
759,Yunusari,297,YO,Yobe,161,NG,Nigeria,13.11666667,11.73333333,Q8061404
760,Yusufari,297,YO,Yobe,161,NG,Nigeria,13.18333333,10.85,Q8062007
